ID,Left eye tracking error degrees,Right eye tracking error degrees,Age years,Inter pupillary distance mm,Gender,Eye colour,Skin tone,Ethnic background,Makeup,Dominant eye,Eyewear type,Eyewear lens type,Eyewear frame type,Eyewear frame thickness,Eyewear lens height,Eyewear coating anti-reflective,Eyewear coating anti-scratch,Eyewear coating anti-fog,Eyewear coating anti-UV,Eyewear coating anti-smudge,Eyewear coating blue-filter
ID0501,1.0336015,0.870761,34,62.5,male,green,medium,Europe,no makeup,right,Eyeglasses,Single-vision,Semi-rimless,Narrow,Low,Yes,,,,,
ID0502,0.8710975,0.973419,31,65.5,male,blue,dark,europe,no makeup,right,Eyeglasses,Single-vision,Full,Narrow,Normal,Yes,Yes,,,,
ID0503,0.629953,1.26327,50,67,male,blue,light,Europe,no makeup,left,Eyeglasses,Single-vision,Rimless,No-frame,Low,Yes,Yes,,,,
ID0504,1.66984,0.8617785,30,65,male,gray-green,light,Europe,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0505,0.443562,1.005823,36,57,female,blue,light,Europe,light eye makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0506,0.930897,0.579485,48,65.5,male,brown,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0507,0.5462565,0.640028,49,53,female,blue-gray,light,Europe,light eye makeup,left,Eyeglasses,Bifocals,Full,Medium,Normal,Yes,,,,,
ID0508,1.768755,1.017667,45,62.5,male,green,light,Europe,no makeup,left,Eyeglasses,Single-vision,Full,Narrow,Normal,,,,Yes,,
ID0510,1.169075,0.4944995,46,59.5,Female,blue,light,europe,light eye makeup,left,Eyeglasses,Bifocals,Full,Thick,High,Yes,Yes,,Yes,,Yes
ID0511,0.554352,0.672042,27,63,female,blue-gray-green,light,europe,light eye makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0512,0.8486615,2.01415,18,63,male,blue-gray,light,europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0513,0.910397,1.38039,37,62,Female,green,light,europe,light eye makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0514,0.5433225,0.5429695,30,67,male,brown,medium,Horn & Sub-Saharan Africa,no makeup,right,Eyeglasses,Bifocals,Full,Thick,Normal,,,,,,Yes
ID0515,1.02402,1.1044665,35,64.5,Male,black,medium,South Asia,no makeup,right,Eyeglasses,Single-vision,Semi-rimless,Narrow,Low,No,No,No,No,No,No
ID0516,1.18838,1.0633715,35,63,female,dark brown,light,East Asia,no makeup,right,Contacts,Contacts,Contacts,Contacts,Contacts,No,No,No,No,No,No
ID0517,1.070385,1.9493,37,68,Male,blue,light,Europe,no makeup,right,Contacts,Contacts,Contacts,Contacts,Contacts,No,No,No,No,No,No
ID0518,0.654179,0.692353,24,69,male,green-brown,light,europe,no makeup,right,Eyeglasses,Single-vision,Full,Medium,High,,,,,,
ID0519,0.695791,0.772081,35,69,Male,black,medium,South Asia,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0520,1.452325,0.872404,45,61,female,blue,light,europe,light eye makeup,right,Contacts,Contacts,Contacts,Contacts,Contacts,,,,,,
ID0521,1.44206,0.947845,27,66.5,male,black,medium,South Asia,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0522,0.718461,0.9914105,45,70.5,Male,brown,medium,South Asia ,no makeup,right,Eyeglasses,Bifocals,Full,Medium,Normal,Yes,Yes,,Yes,,
ID0523,0.9303235,1.136055,36,63,Female,blue-gray,light,europe,no makeup,left,Eyeglasses,Single-vision,Full,Narrow,Normal,No,No,No,No,No,No
ID0524,0.9760575,1.0312025,49,69,male,blue,light,Europe,no makeup,right,Eyeglasses,Single-vision,Full,Narrow,Low,Yes,Yes,,,,
ID0525,1.362635,1.63165,25,64.5,Male,Black,Medium,South Asia,No makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0527,0.455201,0.668609,44,64,Male,Brown,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0528,0.8937165,0.8766595,43,66.5,male,blue-gray,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0529,0.7591205,0.815897,36,57.5,female,blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0530,0.4546635,0.4209625,45,62,male,blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0531,0.9681405,1.09105,49,62.5,female,blue,light,Europe,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0532,1.05869,0.703365,32,64.5,female,brown,medium,South Asia ,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0533,2.46353,1.726105,29,64,female,brown,medium,East Asia,no makeup,left,Eyeglasses,Single-vision,Semi-rimless,Narrow,Low,,,,Yes,,
ID0534,0.535119,0.6602495,28,66.5,male,brown,light,Middle-East,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0535,0.9496015,0.993634,22,63.5,Male,blue-green,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0536,0.5741425,0.8237295,29,63.5,male,grey,light,europe,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0537,1.550145,2.58217,40,66.5,female,brown,dark,Horn & Sub-Saharan Africa,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0538,0.7288145,0.7703425,33,64.5,male,blue-green,light,Europe,no makeup,left,Eyeglasses,Single-vision,Full,Thick,Normal,Yes,Yes,,,,
ID0539,0.6584685,0.9493955,28,61,male,greengray,light,Europe,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0540,1.21334,1.25243,30,65.5,male,blue,light,europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0541,1.32227,1.58828,38,72.5,female,brown,medium,Horn & Sub-Saharan Africa,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0542,9.491375,3.91213,49,67.5,female,brown,light,Europe,no makeup,left,Eyeglasses,Bifocals,Full,Narrow,Low,Yes,Yes,Yes,,Yes,
ID0543,1.08302,0.6510445,27,64.5,male,brown,medium,Horn & Sub-Saharan Africa,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
